c,si,mn,p,s,ni,cr,mo,cu,v,al,n,nb+ta,temp,yield,tensile,elongation,red_area
0.09,0.32,0.48,0.02,0.017,0.023,1.05,0.52,0.04,0.0,0.009,0.0089,0.0,200,324,459,22,67
0.09,0.32,0.48,0.02,0.017,0.023,1.05,0.52,0.04,0.0,0.009,0.0089,0.0,300,303,479,21,65
0.09,0.32,0.48,0.02,0.017,0.023,1.05,0.52,0.04,0.0,0.009,0.0089,0.0,400,279,482,24,71
0.09,0.32,0.48,0.02,0.017,0.023,1.05,0.52,0.04,0.0,0.009,0.0089,0.0,450,277,473,24,73
0.1,0.31,0.51,0.022,0.017,0.02,1.03,0.53,0.04,0.0,0.009,0.0076,0.0,27,291,462,30,71
0.1,0.31,0.51,0.022,0.017,0.02,1.03,0.53,0.04,0.0,0.009,0.0076,0.0,100,315,418,25,70
0.1,0.31,0.51,0.022,0.017,0.02,1.03,0.53,0.04,0.0,0.009,0.0076,0.0,200,316,457,20,66
0.1,0.31,0.51,0.022,0.017,0.02,1.03,0.53,0.04,0.0,0.009,0.0076,0.0,300,288,479,22,63
0.1,0.31,0.51,0.022,0.017,0.02,1.03,0.53,0.04,0.0,0.009,0.0076,0.0,400,270,482,24,71
0.1,0.31,0.51,0.022,0.017,0.02,1.03,0.53,0.04,0.0,0.009,0.0076,0.0,450,272,479,23,73
0.1,0.3,0.49,0.02,0.018,0.023,1.04,0.5,0.04,0.0,0.009,0.0089,0.0,27,312,452,30,71
0.1,0.3,0.49,0.02,0.018,0.023,1.04,0.5,0.04,0.0,0.009,0.0089,0.0,100,304,420,25,73
0.1,0.3,0.49,0.02,0.018,0.023,1.04,0.5,0.04,0.0,0.009,0.0089,0.0,200,311,454,22,64
0.1,0.3,0.49,0.02,0.018,0.023,1.04,0.5,0.04,0.0,0.009,0.0089,0.0,300,242,529,20,65
0.1,0.3,0.49,0.02,0.018,0.023,1.04,0.5,0.04,0.0,0.009,0.0089,0.0,400,291,483,23,72
0.1,0.3,0.49,0.02,0.018,0.023,1.04,0.5,0.04,0.0,0.009,0.0089,0.0,450,280,479,23,72
0.2,0.31,0.59,0.018,0.009,0.0,0.046,0.011,0.05,0.0,0.006,0.0056,0.0,27,280,480,31,64
0.2,0.31,0.59,0.018,0.009,0.0,0.046,0.011,0.05,0.0,0.006,0.0056,0.0,100,270,471,21,57
0.2,0.31,0.59,0.018,0.009,0.0,0.046,0.011,0.05,0.0,0.006,0.0056,0.0,200,272,591,19,48
0.2,0.31,0.59,0.018,0.009,0.0,0.046,0.011,0.05,0.0,0.006,0.0056,0.0,300,197,553,29,57
0.2,0.31,0.59,0.018,0.009,0.0,0.046,0.011,0.05,0.0,0.006,0.0056,0.0,350,185,509,34,66
0.2,0.31,0.59,0.018,0.009,0.0,0.046,0.011,0.05,0.0,0.006,0.0056,0.0,400,177,444,34,69
0.2,0.31,0.59,0.018,0.009,0.0,0.046,0.011,0.05,0.0,0.006,0.0056,0.0,450,176,373,37,75
0.2,0.28,0.6,0.018,0.008,0.0,0.045,0.01,0.05,0.0,0.005,0.0066,0.0,27,290,470,32,65
0.2,0.28,0.6,0.018,0.008,0.0,0.045,0.01,0.05,0.0,0.005,0.0066,0.0,100,278,456,22,60
0.2,0.28,0.6,0.018,0.008,0.0,0.045,0.01,0.05,0.0,0.005,0.0066,0.0,200,277,572,19,48
0.2,0.28,0.6,0.018,0.008,0.0,0.045,0.01,0.05,0.0,0.005,0.0066,0.0,300,187,540,30,58
0.2,0.28,0.6,0.018,0.008,0.0,0.045,0.01,0.05,0.0,0.005,0.0066,0.0,350,188,500,32,65
0.2,0.28,0.6,0.018,0.008,0.0,0.045,0.01,0.05,0.0,0.005,0.0066,0.0,400,166,431,37,67
0.2,0.28,0.6,0.018,0.008,0.0,0.045,0.01,0.05,0.0,0.005,0.0066,0.0,450,171,371,36,76
0.2,0.29,0.55,0.021,0.009,0.0,0.054,0.012,0.05,0.0,0.004,0.0058,0.0,27,285,470,31,62
0.2,0.29,0.55,0.021,0.009,0.0,0.054,0.012,0.05,0.0,0.004,0.0058,0.0,100,271,453,22,60
0.2,0.29,0.55,0.021,0.009,0.0,0.054,0.012,0.05,0.0,0.004,0.0058,0.0,200,267,564,18,48
0.2,0.29,0.55,0.021,0.009,0.0,0.054,0.012,0.05,0.0,0.004,0.0058,0.0,300,187,546,30,56
0.2,0.29,0.55,0.021,0.009,0.0,0.054,0.012,0.05,0.0,0.004,0.0058,0.0,350,184,485,35,66
0.2,0.29,0.55,0.021,0.009,0.0,0.054,0.012,0.05,0.0,0.004,0.0058,0.0,400,172,427,35,70
0.2,0.29,0.55,0.021,0.009,0.0,0.054,0.012,0.05,0.0,0.004,0.0058,0.0,450,179,372,36,78
0.21,0.21,0.62,0.014,0.014,0.0,0.046,0.019,0.05,0.0,0.008,0.003,0.0,27,315,500,30,64
0.21,0.21,0.62,0.014,0.014,0.0,0.046,0.019,0.05,0.0,0.008,0.003,0.0,100,276,456,23,63
0.21,0.21,0.62,0.014,0.014,0.0,0.046,0.019,0.05,0.0,0.008,0.003,0.0,200,280,540,18,52
0.21,0.21,0.62,0.014,0.014,0.0,0.046,0.019,0.05,0.0,0.008,0.003,0.0,300,202,534,27,57
0.21,0.21,0.62,0.014,0.014,0.0,0.046,0.019,0.05,0.0,0.008,0.003,0.0,350,197,495,32,65
0.21,0.21,0.62,0.014,0.014,0.0,0.046,0.019,0.05,0.0,0.008,0.003,0.0,400,198,443,32,69
0.21,0.21,0.62,0.014,0.014,0.0,0.046,0.019,0.05,0.0,0.008,0.003,0.0,450,172,379,38,74
0.24,0.24,0.64,0.015,0.013,0.0,0.074,0.019,0.05,0.0,0.011,0.006,0.0,27,300,480,31,63
0.24,0.24,0.64,0.015,0.013,0.0,0.074,0.019,0.05,0.0,0.011,0.006,0.0,100,291,471,24,63
0.24,0.24,0.64,0.015,0.013,0.0,0.074,0.019,0.05,0.0,0.011,0.006,0.0,200,293,534,19,53
0.24,0.24,0.64,0.015,0.013,0.0,0.074,0.019,0.05,0.0,0.011,0.006,0.0,300,231,552,29,59
0.24,0.24,0.64,0.015,0.013,0.0,0.074,0.019,0.05,0.0,0.011,0.006,0.0,350,231,506,34,67
0.24,0.24,0.64,0.015,0.013,0.0,0.074,0.019,0.05,0.0,0.011,0.006,0.0,400,230,467,32,70
0.24,0.24,0.64,0.015,0.013,0.0,0.074,0.019,0.05,0.0,0.011,0.006,0.0,450,206,386,36,74
0.2,0.2,0.47,0.007,0.009,0.0,0.056,0.01,0.07,0.0,0.005,0.011,0.0,27,290,480,32,64
0.2,0.2,0.47,0.007,0.009,0.0,0.056,0.01,0.07,0.0,0.005,0.011,0.0,100,297,510,19,51
0.2,0.2,0.47,0.007,0.009,0.0,0.056,0.01,0.07,0.0,0.005,0.011,0.0,200,291,650,22,43
0.2,0.2,0.47,0.007,0.009,0.0,0.056,0.01,0.07,0.0,0.005,0.011,0.0,300,189,572,33,58
0.2,0.2,0.47,0.007,0.009,0.0,0.056,0.01,0.07,0.0,0.005,0.011,0.0,350,187,497,35,61
0.2,0.2,0.47,0.007,0.009,0.0,0.056,0.01,0.07,0.0,0.005,0.011,0.0,400,193,426,40,68
0.2,0.2,0.47,0.007,0.009,0.0,0.056,0.01,0.07,0.0,0.005,0.011,0.0,450,181,368,36,67
0.21,0.32,0.48,0.02,0.018,0.0,0.017,0.006,0.08,0.0,0.004,0.0044,0.0,27,275,460,33,64
0.21,0.32,0.48,0.02,0.018,0.0,0.017,0.006,0.08,0.0,0.004,0.0044,0.0,100,260,439,25,62
0.21,0.32,0.48,0.02,0.018,0.0,0.017,0.006,0.08,0.0,0.004,0.0044,0.0,200,260,519,19,54
0.21,0.32,0.48,0.02,0.018,0.0,0.017,0.006,0.08,0.0,0.004,0.0044,0.0,300,197,512,30,58
0.21,0.32,0.48,0.02,0.018,0.0,0.017,0.006,0.08,0.0,0.004,0.0044,0.0,350,188,469,32,67
0.21,0.32,0.48,0.02,0.018,0.0,0.017,0.006,0.08,0.0,0.004,0.0044,0.0,400,190,404,37,73
0.21,0.32,0.48,0.02,0.018,0.0,0.017,0.006,0.08,0.0,0.004,0.0044,0.0,450,187,356,45,84
0.2,0.31,0.5,0.022,0.017,0.0,0.017,0.006,0.09,0.0,0.004,0.0037,0.0,27,270,460,32,65
0.2,0.31,0.5,0.022,0.017,0.0,0.017,0.006,0.09,0.0,0.004,0.0037,0.0,100,244,434,24,63
0.2,0.31,0.5,0.022,0.017,0.0,0.017,0.006,0.09,0.0,0.004,0.0037,0.0,200,240,517,19,54
0.2,0.31,0.5,0.022,0.017,0.0,0.017,0.006,0.09,0.0,0.004,0.0037,0.0,300,202,509,30,60
0.2,0.31,0.5,0.022,0.017,0.0,0.017,0.006,0.09,0.0,0.004,0.0037,0.0,350,195,472,37,65
0.2,0.31,0.5,0.022,0.017,0.0,0.017,0.006,0.09,0.0,0.004,0.0037,0.0,400,197,413,36,72
0.2,0.31,0.5,0.022,0.017,0.0,0.017,0.006,0.09,0.0,0.004,0.0037,0.0,450,178,349,41,77
0.23,0.32,0.53,0.023,0.016,0.0,0.022,0.005,0.07,0.0,0.005,0.0051,0.0,27,285,470,34,66
0.23,0.32,0.53,0.023,0.016,0.0,0.022,0.005,0.07,0.0,0.005,0.0051,0.0,100,267,446,25,64
0.23,0.32,0.53,0.023,0.016,0.0,0.022,0.005,0.07,0.0,0.005,0.0051,0.0,200,251,502,20,56
0.23,0.32,0.53,0.023,0.016,0.0,0.022,0.005,0.07,0.0,0.005,0.0051,0.0,300,183,561,31,58
0.23,0.32,0.53,0.023,0.016,0.0,0.022,0.005,0.07,0.0,0.005,0.0051,0.0,350,190,471,35,65
0.23,0.32,0.53,0.023,0.016,0.0,0.022,0.005,0.07,0.0,0.005,0.0051,0.0,400,200,417,42,73
0.23,0.32,0.53,0.023,0.016,0.0,0.022,0.005,0.07,0.0,0.005,0.0051,0.0,450,202,343,40,77
0.11,0.3,0.48,0.012,0.01,0.0,0.0,0.51,0.0,0.0,0.005,0.0078,0.0,27,265,450,35,70
0.11,0.3,0.48,0.012,0.01,0.0,0.0,0.51,0.0,0.0,0.005,0.0078,0.0,100,260,442,26,67
0.11,0.3,0.48,0.012,0.01,0.0,0.0,0.51,0.0,0.0,0.005,0.0078,0.0,200,247,566,20,55
0.11,0.3,0.48,0.012,0.01,0.0,0.0,0.51,0.0,0.0,0.005,0.0078,0.0,300,198,560,27,59
0.11,0.3,0.48,0.012,0.01,0.0,0.0,0.51,0.0,0.0,0.005,0.0078,0.0,400,195,493,30,74
0.11,0.3,0.48,0.012,0.01,0.0,0.0,0.51,0.0,0.0,0.005,0.0078,0.0,450,181,447,28,78
0.12,0.25,0.5,0.012,0.01,0.0,0.0,0.5,0.0,0.0,0.005,0.0068,0.0,27,270,460,34,69
0.12,0.25,0.5,0.012,0.01,0.0,0.0,0.5,0.0,0.0,0.005,0.0068,0.0,100,260,450,25,65
0.12,0.25,0.5,0.012,0.01,0.0,0.0,0.5,0.0,0.0,0.005,0.0068,0.0,200,260,575,21,52
0.12,0.25,0.5,0.012,0.01,0.0,0.0,0.5,0.0,0.0,0.005,0.0068,0.0,300,185,574,29,35
0.12,0.25,0.5,0.012,0.01,0.0,0.0,0.5,0.0,0.0,0.005,0.0068,0.0,400,204,484,31,73
0.12,0.25,0.5,0.012,0.01,0.0,0.0,0.5,0.0,0.0,0.005,0.0068,0.0,450,222,438,28,78
0.13,0.31,0.48,0.006,0.007,0.0,0.0,0.49,0.0,0.0,0.005,0.006,0.0,27,260,450,35,72
0.13,0.31,0.48,0.006,0.007,0.0,0.0,0.49,0.0,0.0,0.005,0.006,0.0,100,248,439,24,66
0.13,0.31,0.48,0.006,0.007,0.0,0.0,0.49,0.0,0.0,0.005,0.006,0.0,200,254,559,21,55
0.13,0.31,0.48,0.006,0.007,0.0,0.0,0.49,0.0,0.0,0.005,0.006,0.0,300,177,571,28,58
0.13,0.31,0.48,0.006,0.007,0.0,0.0,0.49,0.0,0.0,0.005,0.006,0.0,400,173,488,30,73
0.13,0.31,0.48,0.006,0.007,0.0,0.0,0.49,0.0,0.0,0.005,0.006,0.0,450,189,451,28,78
0.15,0.22,0.43,0.011,0.022,0.01,0.02,0.5,0.03,0.0,0.004,0.004,0.0,27,280,430,36,71
0.15,0.22,0.43,0.011,0.022,0.01,0.02,0.5,0.03,0.0,0.004,0.004,0.0,100,260,417,23,67
0.15,0.22,0.43,0.011,0.022,0.01,0.02,0.5,0.03,0.0,0.004,0.004,0.0,200,273,533,20,61
0.15,0.22,0.43,0.011,0.022,0.01,0.02,0.5,0.03,0.0,0.004,0.004,0.0,300,178,524,28,36
0.15,0.22,0.43,0.011,0.022,0.01,0.02,0.5,0.03,0.0,0.004,0.004,0.0,400,181,428,31,68
0.15,0.22,0.43,0.011,0.022,0.01,0.02,0.5,0.03,0.0,0.004,0.004,0.0,450,175,394,30,71
0.14,0.22,0.46,0.012,0.012,0.01,0.03,0.5,0.03,0.0,0.006,0.006,0.0,27,280,440,31,70
0.14,0.22,0.46,0.012,0.012,0.01,0.03,0.5,0.03,0.0,0.006,0.006,0.0,100,274,423,21,67
0.14,0.22,0.46,0.012,0.012,0.01,0.03,0.5,0.03,0.0,0.006,0.006,0.0,200,274,530,20,56
0.14,0.22,0.46,0.012,0.012,0.01,0.03,0.5,0.03,0.0,0.006,0.006,0.0,300,218,530,27,37
0.14,0.22,0.46,0.012,0.012,0.01,0.03,0.5,0.03,0.0,0.006,0.006,0.0,400,262,442,30,69
0.14,0.22,0.46,0.012,0.012,0.01,0.03,0.5,0.03,0.0,0.006,0.006,0.0,450,200,393,28,72
0.15,0.25,0.58,0.008,0.01,0.05,0.11,0.52,0.04,0.0,0.007,0.011,0.0,27,290,450,36,74
0.15,0.25,0.58,0.008,0.01,0.05,0.11,0.52,0.04,0.0,0.007,0.011,0.0,100,267,414,30,72
0.15,0.25,0.58,0.008,0.01,0.05,0.11,0.52,0.04,0.0,0.007,0.011,0.0,200,260,463,22,68
0.15,0.25,0.58,0.008,0.01,0.05,0.11,0.52,0.04,0.0,0.007,0.011,0.0,300,203,487,28,42
0.15,0.25,0.58,0.008,0.01,0.05,0.11,0.52,0.04,0.0,0.007,0.011,0.0,400,182,438,32,73
0.15,0.25,0.58,0.008,0.01,0.05,0.11,0.52,0.04,0.0,0.007,0.011,0.0,450,192,418,30,74
0.2,0.28,0.59,0.012,0.01,0.02,0.02,0.54,0.07,0.0,0.003,0.0054,0.0,27,310,460,29,63
0.2,0.28,0.59,0.012,0.01,0.02,0.02,0.54,0.07,0.0,0.003,0.0054,0.0,100,308,445,20,59
0.2,0.28,0.59,0.012,0.01,0.02,0.02,0.54,0.07,0.0,0.003,0.0054,0.0,200,317,556,18,47
0.2,0.28,0.59,0.012,0.01,0.02,0.02,0.54,0.07,0.0,0.003,0.0054,0.0,300,278,557,24,28
0.2,0.28,0.59,0.012,0.01,0.02,0.02,0.54,0.07,0.0,0.003,0.0054,0.0,400,252,456,28,65
0.2,0.28,0.59,0.012,0.01,0.02,0.02,0.54,0.07,0.0,0.003,0.0054,0.0,450,249,416,29,72
0.17,0.3,0.63,0.012,0.012,0.04,0.09,0.52,0.1,0.0,0.003,0.007,0.0,27,320,480,30,64
0.17,0.3,0.63,0.012,0.012,0.04,0.09,0.52,0.1,0.0,0.003,0.007,0.0,100,304,469,19,57
0.17,0.3,0.63,0.012,0.012,0.04,0.09,0.52,0.1,0.0,0.003,0.007,0.0,200,310,592,17,45
0.17,0.3,0.63,0.012,0.012,0.04,0.09,0.52,0.1,0.0,0.003,0.007,0.0,300,275,596,25,48
0.17,0.3,0.63,0.012,0.012,0.04,0.09,0.52,0.1,0.0,0.003,0.007,0.0,400,238,487,27,61
0.17,0.3,0.63,0.012,0.012,0.04,0.09,0.52,0.1,0.0,0.003,0.007,0.0,450,249,437,26,68
0.13,0.23,0.66,0.01,0.01,0.08,0.06,0.51,0.13,0.0,0.004,0.0057,0.0,27,300,440,29,66
0.13,0.23,0.66,0.01,0.01,0.08,0.06,0.51,0.13,0.0,0.004,0.0057,0.0,100,408,512,20,64
0.13,0.23,0.66,0.01,0.01,0.08,0.06,0.51,0.13,0.0,0.004,0.0057,0.0,200,314,546,19,51
0.13,0.23,0.66,0.01,0.01,0.08,0.06,0.51,0.13,0.0,0.004,0.0057,0.0,300,263,541,27,54
0.13,0.23,0.66,0.01,0.01,0.08,0.06,0.51,0.13,0.0,0.004,0.0057,0.0,400,237,441,27,65
0.13,0.23,0.66,0.01,0.01,0.08,0.06,0.51,0.13,0.0,0.004,0.0057,0.0,450,261,407,31,71
0.14,0.39,0.63,0.008,0.005,0.0,0.0,0.58,0.03,0.0,0.004,0.006,0.0,27,420,530,23,65
0.14,0.39,0.63,0.008,0.005,0.0,0.0,0.58,0.03,0.0,0.004,0.006,0.0,100,324,437,17,59
0.14,0.39,0.63,0.008,0.005,0.0,0.0,0.58,0.03,0.0,0.004,0.006,0.0,200,412,616,17,52
0.14,0.39,0.63,0.008,0.005,0.0,0.0,0.58,0.03,0.0,0.004,0.006,0.0,300,364,624,24,52
0.14,0.39,0.63,0.008,0.005,0.0,0.0,0.58,0.03,0.0,0.004,0.006,0.0,400,367,532,26,64
0.14,0.39,0.63,0.008,0.005,0.0,0.0,0.58,0.03,0.0,0.004,0.006,0.0,450,320,478,26,69
0.14,0.4,0.67,0.007,0.004,0.0,0.0,0.6,0.03,0.0,0.004,0.007,0.0,27,395,520,24,66
0.14,0.4,0.67,0.007,0.004,0.0,0.0,0.6,0.03,0.0,0.004,0.007,0.0,100,380,506,19,61
0.14,0.4,0.67,0.007,0.004,0.0,0.0,0.6,0.03,0.0,0.004,0.007,0.0,200,391,609,18,49
0.14,0.4,0.67,0.007,0.004,0.0,0.0,0.6,0.03,0.0,0.004,0.007,0.0,300,378,614,23,51
0.14,0.4,0.67,0.007,0.004,0.0,0.0,0.6,0.03,0.0,0.004,0.007,0.0,400,330,519,26,64
0.14,0.4,0.67,0.007,0.004,0.0,0.0,0.6,0.03,0.0,0.004,0.007,0.0,450,328,477,27,71
0.14,0.39,0.64,0.006,0.005,0.0,0.0,0.58,0.03,0.0,0.005,0.008,0.0,27,380,520,25,64
0.14,0.39,0.64,0.006,0.005,0.0,0.0,0.58,0.03,0.0,0.005,0.008,0.0,100,371,505,19,61
0.14,0.39,0.64,0.006,0.005,0.0,0.0,0.58,0.03,0.0,0.005,0.008,0.0,200,367,606,18,48
0.14,0.39,0.64,0.006,0.005,0.0,0.0,0.58,0.03,0.0,0.005,0.008,0.0,300,330,610,25,51
0.14,0.39,0.64,0.006,0.005,0.0,0.0,0.58,0.03,0.0,0.005,0.008,0.0,400,323,517,26,64
0.14,0.39,0.64,0.006,0.005,0.0,0.0,0.58,0.03,0.0,0.005,0.008,0.0,450,323,467,27,72
0.28,0.3,0.7,0.022,0.011,0.14,0.07,0.02,0.22,0.0,0.004,0.0097,0.0,27,300,520,29,58
0.28,0.3,0.7,0.022,0.011,0.14,0.07,0.02,0.22,0.0,0.004,0.0097,0.0,100,284,484,29,58
0.28,0.3,0.7,0.022,0.011,0.14,0.07,0.02,0.22,0.0,0.004,0.0097,0.0,200,228,449,27,57
0.28,0.3,0.7,0.022,0.011,0.14,0.07,0.02,0.22,0.0,0.004,0.0097,0.0,300,223,483,26,48
0.28,0.3,0.7,0.022,0.011,0.14,0.07,0.02,0.22,0.0,0.004,0.0097,0.0,350,214,475,28,54
0.28,0.3,0.7,0.022,0.011,0.14,0.07,0.02,0.22,0.0,0.004,0.0097,0.0,400,199,432,33,61
0.28,0.3,0.7,0.022,0.011,0.14,0.07,0.02,0.22,0.0,0.004,0.0097,0.0,450,172,372,36,69
0.2,0.22,0.68,0.024,0.009,0.15,0.11,0.03,0.23,0.0,0.01,0.0077,0.0,27,275,490,33,64
0.2,0.22,0.68,0.024,0.009,0.15,0.11,0.03,0.23,0.0,0.01,0.0077,0.0,100,258,449,32,65
0.2,0.22,0.68,0.024,0.009,0.15,0.11,0.03,0.23,0.0,0.01,0.0077,0.0,200,243,439,28,62
0.2,0.22,0.68,0.024,0.009,0.15,0.11,0.03,0.23,0.0,0.01,0.0077,0.0,300,201,454,27,56
0.2,0.22,0.68,0.024,0.009,0.15,0.11,0.03,0.23,0.0,0.01,0.0077,0.0,350,194,454,31,58
0.2,0.22,0.68,0.024,0.009,0.15,0.11,0.03,0.23,0.0,0.01,0.0077,0.0,400,186,418,38,67
0.2,0.22,0.68,0.024,0.009,0.15,0.11,0.03,0.23,0.0,0.01,0.0077,0.0,450,183,368,43,74
0.34,0.22,0.7,0.016,0.012,0.14,0.1,0.03,0.2,0.0,0.002,0.0107,0.0,27,290,500,32,60
0.34,0.22,0.7,0.016,0.012,0.14,0.1,0.03,0.2,0.0,0.002,0.0107,0.0,100,266,454,31,61
0.34,0.22,0.7,0.016,0.012,0.14,0.1,0.03,0.2,0.0,0.002,0.0107,0.0,200,224,447,28,58
0.34,0.22,0.7,0.016,0.012,0.14,0.1,0.03,0.2,0.0,0.002,0.0107,0.0,300,194,458,28,52
0.34,0.22,0.7,0.016,0.012,0.14,0.1,0.03,0.2,0.0,0.002,0.0107,0.0,350,198,460,30,55
0.34,0.22,0.7,0.016,0.012,0.14,0.1,0.03,0.2,0.0,0.002,0.0107,0.0,400,194,422,31,62
0.34,0.22,0.7,0.016,0.012,0.14,0.1,0.03,0.2,0.0,0.002,0.0107,0.0,450,179,368,37,71
