yield
342
338
337
346
316
287
310
285
296
265
257
240
306
258
303
275
264
252
343
326
329
277
249
253
339
329
315
270
257
256
251
240
261
203
192
186
239
229
244
210
174
194
241
237
243
188
168
176
313
301
324
303
279
277
291
315
316
288
270
272
312
304
311
242
291
280
280
270
272
197
185
177
176
290
278
277
187
188
166
171
285
271
267
187
184
172
179
315
276
280
202
197
198
172
300
291
293
231
231
230
206
290
297
291
189
187
193
181
275
260
260
197
188
190
187
270
244
240
202
195
197
178
285
267
251
183
190
200
202
265
260
247
198
195
181
270
260
260
185
204
222
260
248
254
177
173
189
280
260
273
178
181
175
280
274
274
218
262
200
290
267
260
203
182
192
310
308
317
278
252
249
320
304
310
275
238
249
300
408
314
263
237
261
420
324
412
364
367
320
395
380
391
378
330
328
380
371
367
330
323
323
300
284
228
223
214
199
172
275
258
243
201
194
186
183
290
266
224
194
198
194
179
275
258
228
186
179
183
183
310
300
254
235
221
213
226
305
270
259
226
214
213
202
295
289
274
223
207
194
198
270
262
224
199
205
186
168
655
621
591
580
538
514
665
617
602
566
561
517
690
662
624
602
553
544
645
613
596
569
538
522
620
585
572
562
526
501
685
642
618
596
569
545
660
622
599
579
560
522
640
601
577
560
534
508
655
634
598
585
545
522
425
393
419
395
399
367
352
455
427
436
435
405
366
367
440
421
404
400
404
378
366
420
411
381
381
357
352
336
435
414
395
396
370
363
335
270
261
261
259
237
228
275
260
256
192
191
180
325
301
284
224
213
199
255
276
258
260
226
228
275
255
270
264
246
229
260
261
260
192
174
178
250
249
251
226
254
223
255
221
248
223
213
202
265
260
254
202
180
183
575
532
478
499
456
437
535
521
487
491
469
449
570
570
536
506
487
462
545
584
572
482
471
515
508
494
464
440
447
650
520
516
199
530
534
570
540
522
513
499
463
525
499
162
459
473
434
555
534
501
496
480
450
468
434
439
421
403
410
350
483
513
450
452
436
415
375
590
591
570
566
526
530
467
574
512
513
486
461
431
424
515
500
473
459
446
399
395
451
424
411
396
397
351
342
476
456
443
432
409
422
403
514
497
511
451
459
415
388
623
637
594
573
517
500
483
666
541
507
491
467
450
409
533
510
482
464
437
447
396
455
426
394
372
357
341
321
501
513
482
408
451
422
388
530
486
465
511
451
459
383
539
508
497
471
447
438
403
513
521
500
488
469
437
402
483
468
411
399
395
360
312
488
463
445
425
420
407
356
537
508
532
461
465
413
411
476
451
426
410
391
378
359
577
546
542
483
487
452
404
359
371
367
358
305
290
258
243
240
382
381
372
396
326
282
268
244
224
