yield
315
426
487
465
451
437
187
507
187
197
483
260
246
496
305
178
301
321
450
249
314
300
262
280
173
223
408
224
388
290
388
439
241
574
194
258
260
254
254
223
183
238
535
366
591
580
291
261
329
486
473
599
320
570
397
516
395
342
324
248
526
432
201
251
468
260
197
456
391
425
437
566
482
270
613
266
194
395
459
585
185
199
367
277
359
544
522
224
575
221
258
545
267
451
359
501
622
621
279
451
545
300
618
275
189
275
478
383
371
213
420
310
431
459
456
443
585
514
229
577
202
290
199
310
511
178
244
226
202
306
240
501
177
434
450
422
329
488
182
271
195
338
202
326
256
391
177
187
569
378
277
569
310
375
446
291
407
261
273
316
194
226
226
184
200
254
190
175
403
214
285
240
455
253
357
213
508
510
304
275
352
452
522
243
634
280
235
421
367
278
506
194
317
186
539
285
224
270
486
192
520
274
260
437
666
536
513
422
411
471
471
660
356
420
198
538
499
440
183
257
410
257
372
172
202
251
197
260
328
260
594
515
188
440
255
206
370
393
395
452
447
482
260
572
620
521
367
285
534
223
445
198
469
367
380
311
358
497
275
343
500
525
188
560
463
260
403
324
231
367
290
259
403
396
408
242
463
500
252
207
655
262
447
690
497
382
280
415
187
410
229
174
394
513
280
402
199
296
188
270
555
270
623
530
508
261
424
195
483
378
427
255
570
260
434
276
573
411
598
601
366
483
205
270
435
312
399
226
584
530
577
404
579
399
312
168
179
260
284
264
351
330
413
532
513
222
330
590
303
315
602
514
275
591
346
256
424
467
204
270
483
396
316
508
303
517
415
455
655
534
501
180
364
447
265
301
289
186
248
274
255
244
461
200
537
624
459
189
265
545
420
381
596
449
186
325
263
174
230
270
249
511
521
282
210
414
337
480
272
275
572
199
435
491
197
228
530
290
176
190
293
183
395
267
193
542
252
231
405
250
276
637
