c,si,mn,p,s,ni,cr,mo,cu,v,al,n,nb+ta,temp,yield
0.1,0.31,0.51,0.022,0.017,0.02,1.03,0.53,0.04,0.0,0.009,0.0076,0.0,100,315
0.1,0.31,0.51,0.022,0.017,0.02,1.03,0.53,0.04,0.0,0.009,0.0076,0.0,200,316
0.1,0.31,0.51,0.022,0.017,0.02,1.03,0.53,0.04,0.0,0.009,0.0076,0.0,300,288
0.1,0.31,0.51,0.022,0.017,0.02,1.03,0.53,0.04,0.0,0.009,0.0076,0.0,400,270
0.1,0.31,0.51,0.022,0.017,0.02,1.03,0.53,0.04,0.0,0.009,0.0076,0.0,450,272
0.1,0.3,0.49,0.02,0.018,0.023,1.04,0.5,0.04,0.0,0.009,0.0089,0.0,27,312
0.1,0.3,0.49,0.02,0.018,0.023,1.04,0.5,0.04,0.0,0.009,0.0089,0.0,100,304
0.1,0.3,0.49,0.02,0.018,0.023,1.04,0.5,0.04,0.0,0.009,0.0089,0.0,200,311
0.1,0.3,0.49,0.02,0.018,0.023,1.04,0.5,0.04,0.0,0.009,0.0089,0.0,300,242
0.1,0.3,0.49,0.02,0.018,0.023,1.04,0.5,0.04,0.0,0.009,0.0089,0.0,400,291
0.1,0.3,0.49,0.02,0.018,0.023,1.04,0.5,0.04,0.0,0.009,0.0089,0.0,450,280
0.2,0.31,0.59,0.018,0.009,0.0,0.046,0.011,0.05,0.0,0.006,0.0056,0.0,27,280
0.2,0.31,0.59,0.018,0.009,0.0,0.046,0.011,0.05,0.0,0.006,0.0056,0.0,100,270
0.2,0.31,0.59,0.018,0.009,0.0,0.046,0.011,0.05,0.0,0.006,0.0056,0.0,200,272
0.2,0.31,0.59,0.018,0.009,0.0,0.046,0.011,0.05,0.0,0.006,0.0056,0.0,300,197
0.2,0.31,0.59,0.018,0.009,0.0,0.046,0.011,0.05,0.0,0.006,0.0056,0.0,350,185
0.2,0.31,0.59,0.018,0.009,0.0,0.046,0.011,0.05,0.0,0.006,0.0056,0.0,400,177
0.2,0.31,0.59,0.018,0.009,0.0,0.046,0.011,0.05,0.0,0.006,0.0056,0.0,450,176
0.2,0.28,0.6,0.018,0.008,0.0,0.045,0.01,0.05,0.0,0.005,0.0066,0.0,27,290
0.2,0.28,0.6,0.018,0.008,0.0,0.045,0.01,0.05,0.0,0.005,0.0066,0.0,100,278
0.2,0.28,0.6,0.018,0.008,0.0,0.045,0.01,0.05,0.0,0.005,0.0066,0.0,200,277
0.2,0.28,0.6,0.018,0.008,0.0,0.045,0.01,0.05,0.0,0.005,0.0066,0.0,300,187
0.2,0.28,0.6,0.018,0.008,0.0,0.045,0.01,0.05,0.0,0.005,0.0066,0.0,350,188
0.2,0.28,0.6,0.018,0.008,0.0,0.045,0.01,0.05,0.0,0.005,0.0066,0.0,400,166
0.2,0.28,0.6,0.018,0.008,0.0,0.045,0.01,0.05,0.0,0.005,0.0066,0.0,450,171
0.2,0.29,0.55,0.021,0.009,0.0,0.054,0.012,0.05,0.0,0.004,0.0058,0.0,27,285
0.2,0.29,0.55,0.021,0.009,0.0,0.054,0.012,0.05,0.0,0.004,0.0058,0.0,100,271
0.2,0.29,0.55,0.021,0.009,0.0,0.054,0.012,0.05,0.0,0.004,0.0058,0.0,200,267
0.2,0.29,0.55,0.021,0.009,0.0,0.054,0.012,0.05,0.0,0.004,0.0058,0.0,300,187
0.2,0.29,0.55,0.021,0.009,0.0,0.054,0.012,0.05,0.0,0.004,0.0058,0.0,350,184
0.2,0.29,0.55,0.021,0.009,0.0,0.054,0.012,0.05,0.0,0.004,0.0058,0.0,400,172
0.2,0.29,0.55,0.021,0.009,0.0,0.054,0.012,0.05,0.0,0.004,0.0058,0.0,450,179
0.21,0.21,0.62,0.014,0.014,0.0,0.046,0.019,0.05,0.0,0.008,0.003,0.0,27,315
0.21,0.21,0.62,0.014,0.014,0.0,0.046,0.019,0.05,0.0,0.008,0.003,0.0,100,276
0.21,0.21,0.62,0.014,0.014,0.0,0.046,0.019,0.05,0.0,0.008,0.003,0.0,200,280
0.21,0.21,0.62,0.014,0.014,0.0,0.046,0.019,0.05,0.0,0.008,0.003,0.0,300,202
0.21,0.21,0.62,0.014,0.014,0.0,0.046,0.019,0.05,0.0,0.008,0.003,0.0,350,197
0.21,0.21,0.62,0.014,0.014,0.0,0.046,0.019,0.05,0.0,0.008,0.003,0.0,400,198
0.21,0.21,0.62,0.014,0.014,0.0,0.046,0.019,0.05,0.0,0.008,0.003,0.0,450,172
0.24,0.24,0.64,0.015,0.013,0.0,0.074,0.019,0.05,0.0,0.011,0.006,0.0,27,300
0.24,0.24,0.64,0.015,0.013,0.0,0.074,0.019,0.05,0.0,0.011,0.006,0.0,100,291
0.24,0.24,0.64,0.015,0.013,0.0,0.074,0.019,0.05,0.0,0.011,0.006,0.0,200,293
0.24,0.24,0.64,0.015,0.013,0.0,0.074,0.019,0.05,0.0,0.011,0.006,0.0,300,231
0.24,0.24,0.64,0.015,0.013,0.0,0.074,0.019,0.05,0.0,0.011,0.006,0.0,350,231
0.24,0.24,0.64,0.015,0.013,0.0,0.074,0.019,0.05,0.0,0.011,0.006,0.0,400,230
0.24,0.24,0.64,0.015,0.013,0.0,0.074,0.019,0.05,0.0,0.011,0.006,0.0,450,206
0.2,0.2,0.47,0.007,0.009,0.0,0.056,0.01,0.07,0.0,0.005,0.011,0.0,27,290
0.2,0.2,0.47,0.007,0.009,0.0,0.056,0.01,0.07,0.0,0.005,0.011,0.0,100,297
0.2,0.2,0.47,0.007,0.009,0.0,0.056,0.01,0.07,0.0,0.005,0.011,0.0,200,291
0.2,0.2,0.47,0.007,0.009,0.0,0.056,0.01,0.07,0.0,0.005,0.011,0.0,300,189
0.2,0.2,0.47,0.007,0.009,0.0,0.056,0.01,0.07,0.0,0.005,0.011,0.0,350,187
0.2,0.2,0.47,0.007,0.009,0.0,0.056,0.01,0.07,0.0,0.005,0.011,0.0,400,193
0.2,0.2,0.47,0.007,0.009,0.0,0.056,0.01,0.07,0.0,0.005,0.011,0.0,450,181
0.21,0.32,0.48,0.02,0.018,0.0,0.017,0.006,0.08,0.0,0.004,0.0044,0.0,27,275
0.21,0.32,0.48,0.02,0.018,0.0,0.017,0.006,0.08,0.0,0.004,0.0044,0.0,100,260
0.21,0.32,0.48,0.02,0.018,0.0,0.017,0.006,0.08,0.0,0.004,0.0044,0.0,200,260
0.21,0.32,0.48,0.02,0.018,0.0,0.017,0.006,0.08,0.0,0.004,0.0044,0.0,300,197
0.21,0.32,0.48,0.02,0.018,0.0,0.017,0.006,0.08,0.0,0.004,0.0044,0.0,350,188
0.21,0.32,0.48,0.02,0.018,0.0,0.017,0.006,0.08,0.0,0.004,0.0044,0.0,400,190
0.21,0.32,0.48,0.02,0.018,0.0,0.017,0.006,0.08,0.0,0.004,0.0044,0.0,450,187
0.2,0.31,0.5,0.022,0.017,0.0,0.017,0.006,0.09,0.0,0.004,0.0037,0.0,27,270
0.2,0.31,0.5,0.022,0.017,0.0,0.017,0.006,0.09,0.0,0.004,0.0037,0.0,100,244
0.2,0.31,0.5,0.022,0.017,0.0,0.017,0.006,0.09,0.0,0.004,0.0037,0.0,200,240
0.2,0.31,0.5,0.022,0.017,0.0,0.017,0.006,0.09,0.0,0.004,0.0037,0.0,300,202
0.2,0.31,0.5,0.022,0.017,0.0,0.017,0.006,0.09,0.0,0.004,0.0037,0.0,350,195
0.2,0.31,0.5,0.022,0.017,0.0,0.017,0.006,0.09,0.0,0.004,0.0037,0.0,400,197
0.2,0.31,0.5,0.022,0.017,0.0,0.017,0.006,0.09,0.0,0.004,0.0037,0.0,450,178
0.23,0.32,0.53,0.023,0.016,0.0,0.022,0.005,0.07,0.0,0.005,0.0051,0.0,27,285
0.23,0.32,0.53,0.023,0.016,0.0,0.022,0.005,0.07,0.0,0.005,0.0051,0.0,100,267
0.23,0.32,0.53,0.023,0.016,0.0,0.022,0.005,0.07,0.0,0.005,0.0051,0.0,200,251
0.23,0.32,0.53,0.023,0.016,0.0,0.022,0.005,0.07,0.0,0.005,0.0051,0.0,300,183
0.23,0.32,0.53,0.023,0.016,0.0,0.022,0.005,0.07,0.0,0.005,0.0051,0.0,350,190
0.23,0.32,0.53,0.023,0.016,0.0,0.022,0.005,0.07,0.0,0.005,0.0051,0.0,400,200
0.23,0.32,0.53,0.023,0.016,0.0,0.022,0.005,0.07,0.0,0.005,0.0051,0.0,450,202
0.11,0.3,0.48,0.012,0.01,0.0,0.0,0.51,0.0,0.0,0.005,0.0078,0.0,27,265
0.11,0.3,0.48,0.012,0.01,0.0,0.0,0.51,0.0,0.0,0.005,0.0078,0.0,100,260
0.11,0.3,0.48,0.012,0.01,0.0,0.0,0.51,0.0,0.0,0.005,0.0078,0.0,200,247
0.11,0.3,0.48,0.012,0.01,0.0,0.0,0.51,0.0,0.0,0.005,0.0078,0.0,300,198
0.11,0.3,0.48,0.012,0.01,0.0,0.0,0.51,0.0,0.0,0.005,0.0078,0.0,400,195
0.11,0.3,0.48,0.012,0.01,0.0,0.0,0.51,0.0,0.0,0.005,0.0078,0.0,450,181
0.12,0.25,0.5,0.012,0.01,0.0,0.0,0.5,0.0,0.0,0.005,0.0068,0.0,27,270
0.12,0.25,0.5,0.012,0.01,0.0,0.0,0.5,0.0,0.0,0.005,0.0068,0.0,100,260
0.12,0.25,0.5,0.012,0.01,0.0,0.0,0.5,0.0,0.0,0.005,0.0068,0.0,200,260
0.12,0.25,0.5,0.012,0.01,0.0,0.0,0.5,0.0,0.0,0.005,0.0068,0.0,300,185
0.12,0.25,0.5,0.012,0.01,0.0,0.0,0.5,0.0,0.0,0.005,0.0068,0.0,400,204
0.12,0.25,0.5,0.012,0.01,0.0,0.0,0.5,0.0,0.0,0.005,0.0068,0.0,450,222
0.13,0.31,0.48,0.006,0.007,0.0,0.0,0.49,0.0,0.0,0.005,0.006,0.0,27,260
0.13,0.31,0.48,0.006,0.007,0.0,0.0,0.49,0.0,0.0,0.005,0.006,0.0,100,248
0.13,0.31,0.48,0.006,0.007,0.0,0.0,0.49,0.0,0.0,0.005,0.006,0.0,200,254
0.13,0.31,0.48,0.006,0.007,0.0,0.0,0.49,0.0,0.0,0.005,0.006,0.0,300,177
0.13,0.31,0.48,0.006,0.007,0.0,0.0,0.49,0.0,0.0,0.005,0.006,0.0,400,173
0.13,0.31,0.48,0.006,0.007,0.0,0.0,0.49,0.0,0.0,0.005,0.006,0.0,450,189
0.15,0.22,0.43,0.011,0.022,0.01,0.02,0.5,0.03,0.0,0.004,0.004,0.0,27,280
0.15,0.22,0.43,0.011,0.022,0.01,0.02,0.5,0.03,0.0,0.004,0.004,0.0,100,260
0.15,0.22,0.43,0.011,0.022,0.01,0.02,0.5,0.03,0.0,0.004,0.004,0.0,200,273
0.15,0.22,0.43,0.011,0.022,0.01,0.02,0.5,0.03,0.0,0.004,0.004,0.0,300,178
0.15,0.22,0.43,0.011,0.022,0.01,0.02,0.5,0.03,0.0,0.004,0.004,0.0,400,181
0.15,0.22,0.43,0.011,0.022,0.01,0.02,0.5,0.03,0.0,0.004,0.004,0.0,450,175
0.14,0.22,0.46,0.012,0.012,0.01,0.03,0.5,0.03,0.0,0.006,0.006,0.0,27,280
0.14,0.22,0.46,0.012,0.012,0.01,0.03,0.5,0.03,0.0,0.006,0.006,0.0,100,274
0.14,0.22,0.46,0.012,0.012,0.01,0.03,0.5,0.03,0.0,0.006,0.006,0.0,200,274
0.14,0.22,0.46,0.012,0.012,0.01,0.03,0.5,0.03,0.0,0.006,0.006,0.0,300,218
0.14,0.22,0.46,0.012,0.012,0.01,0.03,0.5,0.03,0.0,0.006,0.006,0.0,400,262
0.14,0.22,0.46,0.012,0.012,0.01,0.03,0.5,0.03,0.0,0.006,0.006,0.0,450,200
0.15,0.25,0.58,0.008,0.01,0.05,0.11,0.52,0.04,0.0,0.007,0.011,0.0,27,290
0.15,0.25,0.58,0.008,0.01,0.05,0.11,0.52,0.04,0.0,0.007,0.011,0.0,100,267
0.15,0.25,0.58,0.008,0.01,0.05,0.11,0.52,0.04,0.0,0.007,0.011,0.0,200,260
0.15,0.25,0.58,0.008,0.01,0.05,0.11,0.52,0.04,0.0,0.007,0.011,0.0,300,203
0.15,0.25,0.58,0.008,0.01,0.05,0.11,0.52,0.04,0.0,0.007,0.011,0.0,400,182
0.15,0.25,0.58,0.008,0.01,0.05,0.11,0.52,0.04,0.0,0.007,0.011,0.0,450,192
0.2,0.28,0.59,0.012,0.01,0.02,0.02,0.54,0.07,0.0,0.003,0.0054,0.0,27,310
0.2,0.28,0.59,0.012,0.01,0.02,0.02,0.54,0.07,0.0,0.003,0.0054,0.0,100,308
0.2,0.28,0.59,0.012,0.01,0.02,0.02,0.54,0.07,0.0,0.003,0.0054,0.0,200,317
0.2,0.28,0.59,0.012,0.01,0.02,0.02,0.54,0.07,0.0,0.003,0.0054,0.0,300,278
0.2,0.28,0.59,0.012,0.01,0.02,0.02,0.54,0.07,0.0,0.003,0.0054,0.0,400,252
0.2,0.28,0.59,0.012,0.01,0.02,0.02,0.54,0.07,0.0,0.003,0.0054,0.0,450,249
0.17,0.3,0.63,0.012,0.012,0.04,0.09,0.52,0.1,0.0,0.003,0.007,0.0,27,320
0.17,0.3,0.63,0.012,0.012,0.04,0.09,0.52,0.1,0.0,0.003,0.007,0.0,100,304
0.17,0.3,0.63,0.012,0.012,0.04,0.09,0.52,0.1,0.0,0.003,0.007,0.0,200,310
0.17,0.3,0.63,0.012,0.012,0.04,0.09,0.52,0.1,0.0,0.003,0.007,0.0,300,275
0.17,0.3,0.63,0.012,0.012,0.04,0.09,0.52,0.1,0.0,0.003,0.007,0.0,400,238
0.17,0.3,0.63,0.012,0.012,0.04,0.09,0.52,0.1,0.0,0.003,0.007,0.0,450,249
0.13,0.23,0.66,0.01,0.01,0.08,0.06,0.51,0.13,0.0,0.004,0.0057,0.0,27,300
0.13,0.23,0.66,0.01,0.01,0.08,0.06,0.51,0.13,0.0,0.004,0.0057,0.0,100,408
0.13,0.23,0.66,0.01,0.01,0.08,0.06,0.51,0.13,0.0,0.004,0.0057,0.0,200,314
0.13,0.23,0.66,0.01,0.01,0.08,0.06,0.51,0.13,0.0,0.004,0.0057,0.0,300,263
0.13,0.23,0.66,0.01,0.01,0.08,0.06,0.51,0.13,0.0,0.004,0.0057,0.0,400,237
0.13,0.23,0.66,0.01,0.01,0.08,0.06,0.51,0.13,0.0,0.004,0.0057,0.0,450,261
0.14,0.39,0.63,0.008,0.005,0.0,0.0,0.58,0.03,0.0,0.004,0.006,0.0,27,420
0.14,0.39,0.63,0.008,0.005,0.0,0.0,0.58,0.03,0.0,0.004,0.006,0.0,100,324
0.14,0.39,0.63,0.008,0.005,0.0,0.0,0.58,0.03,0.0,0.004,0.006,0.0,200,412
0.14,0.39,0.63,0.008,0.005,0.0,0.0,0.58,0.03,0.0,0.004,0.006,0.0,300,364
0.14,0.39,0.63,0.008,0.005,0.0,0.0,0.58,0.03,0.0,0.004,0.006,0.0,400,367
0.14,0.39,0.63,0.008,0.005,0.0,0.0,0.58,0.03,0.0,0.004,0.006,0.0,450,320
0.14,0.4,0.67,0.007,0.004,0.0,0.0,0.6,0.03,0.0,0.004,0.007,0.0,27,395
0.14,0.4,0.67,0.007,0.004,0.0,0.0,0.6,0.03,0.0,0.004,0.007,0.0,100,380
0.14,0.4,0.67,0.007,0.004,0.0,0.0,0.6,0.03,0.0,0.004,0.007,0.0,200,391
0.14,0.4,0.67,0.007,0.004,0.0,0.0,0.6,0.03,0.0,0.004,0.007,0.0,300,378
0.14,0.4,0.67,0.007,0.004,0.0,0.0,0.6,0.03,0.0,0.004,0.007,0.0,400,330
0.14,0.4,0.67,0.007,0.004,0.0,0.0,0.6,0.03,0.0,0.004,0.007,0.0,450,328
0.14,0.39,0.64,0.006,0.005,0.0,0.0,0.58,0.03,0.0,0.005,0.008,0.0,27,380
0.14,0.39,0.64,0.006,0.005,0.0,0.0,0.58,0.03,0.0,0.005,0.008,0.0,100,371
0.14,0.39,0.64,0.006,0.005,0.0,0.0,0.58,0.03,0.0,0.005,0.008,0.0,200,367
0.14,0.39,0.64,0.006,0.005,0.0,0.0,0.58,0.03,0.0,0.005,0.008,0.0,300,330
0.14,0.39,0.64,0.006,0.005,0.0,0.0,0.58,0.03,0.0,0.005,0.008,0.0,400,323
0.14,0.39,0.64,0.006,0.005,0.0,0.0,0.58,0.03,0.0,0.005,0.008,0.0,450,323
0.28,0.3,0.7,0.022,0.011,0.14,0.07,0.02,0.22,0.0,0.004,0.0097,0.0,27,300
0.28,0.3,0.7,0.022,0.011,0.14,0.07,0.02,0.22,0.0,0.004,0.0097,0.0,100,284
0.28,0.3,0.7,0.022,0.011,0.14,0.07,0.02,0.22,0.0,0.004,0.0097,0.0,200,228
0.28,0.3,0.7,0.022,0.011,0.14,0.07,0.02,0.22,0.0,0.004,0.0097,0.0,300,223
0.28,0.3,0.7,0.022,0.011,0.14,0.07,0.02,0.22,0.0,0.004,0.0097,0.0,350,214
